institute_id,name,country,region,parent_institution,parent_ror,organization_type,china_focus_area,funding_source_if_available,official_url,source_url,year_established,confucius_institute_on_campus,joint_chinese_center,chinese_funding_presence,policy_vs_academic_orientation,publication_indexed_share,china_coauthorship_share,policy_output_share,notes,country_iso2,parent_institution_normalized,institute_type_category,confucius_institute_present,confucius_institute_closed,ci_closure_year,ci_partner_university,china_funding_present,china_funding_type,china_university_partner,director_name,director_start_year,director_end_year,director_background_type,director_security_policy_background,director_china_academic_background,director_prior_affiliation_china,director_change_year,director_change_post_ci_closure,disciplinary_orientation_primary,disciplinary_orientation_secondary,discipline_history_share,discipline_politics_share,discipline_economics_share,discipline_law_share,discipline_society_culture_share,discipline_science_technology_share,discipline_security_strategy_share,discipline_interdisciplinary_share,discipline_detection_method,publication_count,topic_security_share,topic_economy_share,topic_governance_share,topic_cooperation_share,hawkishness_score,engagement_score,risk_framing_score,sensitive_topic_share_x,sensitive_topic_index,sensitive_topic_avoidance_score,sensitive_topic_count,tiananmen_topic_share,falun_gong_topic_share,xinjiang_topic_share,tibet_topic_share,hongkong_democracy_topic_share,human_rights_topic_share,tiananmen_topic_count,falun_gong_topic_count,xinjiang_topic_count,tibet_topic_count,hongkong_topic_count,human_rights_topic_count,sensitive_topic_detection_method,parent_institution_original,parent_institution_effective,chinese_partner_inferred,openalex_parent_institution_id,resolved_publications_url,resolved_people_url,resolved_reports_url,ci_match_method,ci_match_confidence,year,total_docs,indexed_docs,grey_docs,policy_docs,indexed_share,grey_share,policy_share,topic_domestic_politics_docs,topic_environment_climate_docs,topic_health_science_docs,topic_history_culture_docs,topic_hong_kong_docs,topic_ir_foreign_policy_docs,topic_law_institutions_docs,topic_media_information_docs,topic_regional_global_south_docs,topic_security_military_docs,topic_society_demographics_docs,topic_taiwan_strait_docs,topic_technology_cyber_docs,topic_trade_economics_docs,topic_unclassified_docs,topic_xinjiang_tibet_docs,topic_domestic_politics_share,topic_environment_climate_share,topic_health_science_share,topic_history_culture_share,topic_hong_kong_share,topic_ir_foreign_policy_share,topic_law_institutions_share,topic_media_information_share,topic_regional_global_south_share,topic_security_military_share,topic_society_demographics_share,topic_taiwan_strait_share,topic_technology_cyber_share,topic_trade_economics_share,topic_unclassified_share,topic_xinjiang_tibet_share,sensitive_docs,sensitive_topic_share_y,pre_post_ci_closure
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2004,3,3,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2005,2,2,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2006,2,2,0,0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2007,5,5,0,0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2008,2,2,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2009,1,1,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2010,7,7,0,0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.4286,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2011,4,4,0,0,1.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2012,7,7,0,0,1.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0.1429,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.1429,0.1429,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2013,6,6,0,0,1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0.0,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.1667,0.1667,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2014,12,12,0,0,1.0,0.0,0.0,4,3,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0.3333,0.25,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.1667,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2015,9,9,0,0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.6667,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2016,7,7,0,0,1.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0.0,0.1429,0.0,0.1429,0.0,0.0,0.0,0.0,0.1429,0.0,0.1429,0.0,0.0,0.0,0.4286,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2017,9,9,0,0,1.0,0.0,0.0,3,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0.3333,0.1111,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,0.0,0.1111,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2018,6,6,0,0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2019,16,16,0,0,1.0,0.0,0.0,6,1,1,1,0,0,0,0,0,0,3,0,0,0,4,0,0.375,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.25,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2020,21,21,0,0,1.0,0.0,0.0,4,1,3,0,0,0,1,0,2,0,1,0,0,1,8,0,0.1905,0.0476,0.1429,0.0,0.0,0.0,0.0476,0.0,0.0952,0.0,0.0476,0.0,0.0,0.0476,0.381,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2021,10,10,0,0,1.0,0.0,0.0,2,0,2,1,1,0,0,0,0,0,1,0,0,0,3,0,0.2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2022,7,7,0,0,1.0,0.0,0.0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0.2857,0.1429,0.2857,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2023,5,5,0,0,1.0,0.0,0.0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2024,6,6,0,0,1.0,0.0,0.0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0.3333,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.3333,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2025,5,5,0,0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0,0.0,
asia_institute_china_related_programs,Asia Institute (China-related programs),Australia,Oceania,University of Melbourne,https://ror.org/01ej9dk98,University institute,Asian studies incl. China,,https://arts.unimelb.edu.au/asia-institute,https://arts.unimelb.edu.au/asia-institute,,,,,,,,,Melbourne Asia Institute.,AU,University of Melbourne,academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Melbourne,University of Melbourne,,,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research/environment-and-energy-stream,https://arts.unimelb.edu.au/asia-institute/people,https://arts.unimelb.edu.au/asia-institute/research,,,2026,1,1,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),United States,North America,"University of California, Los Angeles",,University center,Asia-Pacific studies incl. China,,https://apc.ucla.edu/,https://apc.ucla.edu/,,,,,,,,,UCLA center with China-related research.,US,"University of California, Los Angeles",academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles","University of California, Los Angeles",,,https://www.international.ucla.edu/apc/home,https://apc.ucla.edu/,https://www.international.ucla.edu/apc/home,,,2000,2,2,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0,0.0,
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),United States,North America,"University of California, Los Angeles",,University center,Asia-Pacific studies incl. China,,https://apc.ucla.edu/,https://apc.ucla.edu/,,,,,,,,,UCLA center with China-related research.,US,"University of California, Los Angeles",academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles","University of California, Los Angeles",,,https://www.international.ucla.edu/apc/home,https://apc.ucla.edu/,https://www.international.ucla.edu/apc/home,,,2001,1,1,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),United States,North America,"University of California, Los Angeles",,University center,Asia-Pacific studies incl. China,,https://apc.ucla.edu/,https://apc.ucla.edu/,,,,,,,,,UCLA center with China-related research.,US,"University of California, Los Angeles",academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles","University of California, Los Angeles",,,https://www.international.ucla.edu/apc/home,https://apc.ucla.edu/,https://www.international.ucla.edu/apc/home,,,2002,4,4,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0,0.0,
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),United States,North America,"University of California, Los Angeles",,University center,Asia-Pacific studies incl. China,,https://apc.ucla.edu/,https://apc.ucla.edu/,,,,,,,,,UCLA center with China-related research.,US,"University of California, Los Angeles",academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles","University of California, Los Angeles",,,https://www.international.ucla.edu/apc/home,https://apc.ucla.edu/,https://www.international.ucla.edu/apc/home,,,2003,5,5,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0,0.0,
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),United States,North America,"University of California, Los Angeles",,University center,Asia-Pacific studies incl. China,,https://apc.ucla.edu/,https://apc.ucla.edu/,,,,,,,,,UCLA center with China-related research.,US,"University of California, Los Angeles",academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles","University of California, Los Angeles",,,https://www.international.ucla.edu/apc/home,https://apc.ucla.edu/,https://www.international.ucla.edu/apc/home,,,2004,3,3,0,0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0,0.0,
asia_pacific_center_china_related_programs,Asia Pacific Center (China-related programs),United States,North America,"University of California, Los Angeles",,University center,Asia-Pacific studies incl. China,,https://apc.ucla.edu/,https://apc.ucla.edu/,,,,,,,,,UCLA center with China-related research.,US,"University of California, Los Angeles",academic center / institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Los Angeles","University of California, Los Angeles",,,https://www.international.ucla.edu/apc/home,https://apc.ucla.edu/,https://www.international.ucla.edu/apc/home,,,2005,1,1,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
